year,month,day,cruise,station,depth_m,temp_C,sal_PSU,density_kg_m-3,PAR,fluor_mg_m-3,turbidity_NTU,O2conc_umol_kg-1,O2sat_percent,pH
2024,9,5,1,1,5.276,16.6595,31.2991,22.7544,1.61E+02,1.6118,1.624,217.062,88.206,8.03
2024,9,5,1,1,5.439,16.6642,31.2986,22.753,1.52E+02,1.6118,1.6211,217.116,88.235,8.03
2024,9,5,1,1,5.607,16.6674,31.2981,22.7519,1.43E+02,1.6118,1.5776,217.174,88.264,8.03
2024,9,5,1,1,5.769,16.6662,31.3016,22.7548,1.34E+02,1.6109,1.5747,217.15,88.254,8.031
2024,9,5,1,1,5.937,16.6631,31.2998,22.7542,1.25E+02,1.5972,1.5312,217.267,88.296,8.031
2024,9,5,1,1,6.105,16.6658,31.2992,22.7531,1.17E+02,1.5972,1.5312,217.547,88.414,8.03
2024,9,5,1,1,6.262,16.6664,31.2989,22.7528,1.10E+02,1.5596,1.4095,218.139,88.655,8.031
2024,9,5,1,1,6.428,16.6621,31.3013,22.7555,1.03E+02,1.5523,1.3863,218.648,88.856,8.031
2024,9,5,1,1,6.603,16.6625,31.3,22.7545,9.76E+01,1.5633,1.3196,218.889,88.954,8.031
2024,9,5,1,1,6.779,16.6579,31.301,22.7563,9.09E+01,1.5679,1.2964,218.76,88.894,8.03
2024,9,5,1,1,6.945,16.6624,31.2986,22.7534,8.43E+01,1.5496,1.3225,218.64,88.852,8.03
2024,9,5,1,1,7.109,16.6526,31.3049,22.7605,7.85E+01,1.5367,1.3399,218.208,88.663,8.03
2024,9,5,1,1,7.277,16.6419,31.3024,22.761,7.33E+01,1.5303,1.3196,218.007,88.562,8.03
2024,9,5,1,1,7.45,16.6451,31.3013,22.7595,6.84E+01,1.523,1.2935,218.285,88.679,8.03
2024,9,5,1,1,7.617,16.6451,31.3008,22.7591,6.43E+01,1.5184,1.2906,218.413,88.731,8.03
2024,9,5,1,1,7.784,16.6446,31.3014,22.7597,6.03E+01,1.5093,1.2964,218.271,88.673,8.03
2024,9,5,1,1,7.957,16.5634,31.3587,22.8221,5.66E+01,1.5056,1.2935,218.282,88.573,8.03
2024,9,5,1,1,8.136,16.3165,31.3858,22.8989,5.30E+01,1.4937,1.2906,219.119,88.506,8.031
2024,9,5,1,1,8.309,16.3156,31.3415,22.8651,4.96E+01,1.4882,1.2993,218.868,88.376,8.031
2024,9,5,1,1,8.481,16.351,31.3346,22.8518,4.65E+01,1.436,1.3428,218.078,88.113,8.03
2024,9,5,1,1,8.637,16.359,31.3332,22.8489,4.38E+01,1.437,1.3428,216.903,87.651,8.029
2024,9,5,1,1,8.781,16.3825,31.3217,22.8348,4.15E+01,1.4095,1.3399,215.634,87.171,8.027
2024,9,5,1,1,8.936,16.3438,31.359,22.8722,3.92E+01,1.4086,1.3428,215.194,86.95,8.027
2024,9,5,1,1,9.096,16.2769,31.3498,22.8802,3.70E+01,1.2731,1.2587,215.728,87.047,8.028
2024,9,5,1,1,9.254,16.2596,31.3529,22.8864,3.50E+01,1.2493,1.2471,216.604,87.373,8.027
2024,9,5,1,1,9.409,16.257,31.3436,22.8799,3.31E+01,1.2172,1.2471,216.786,87.437,8.025
2024,9,5,1,1,9.566,16.2551,31.3493,22.8847,3.13E+01,1.2053,1.2471,216.45,87.301,8.023
2024,9,5,1,1,9.721,16.2091,31.365,22.9071,2.97E+01,1.1971,1.2761,216.402,87.214,8.023
2024,9,5,1,1,9.873,16.1406,31.3684,22.9251,2.82E+01,1.1916,1.2935,216.558,87.163,8.023
2024,9,5,1,1,10.03,16.1448,31.3597,22.9174,2.68E+01,1.1733,1.2471,216.407,87.104,8.022
2024,9,5,1,1,10.204,16.1535,31.352,22.9096,2.52E+01,1.154,1.2007,215.925,86.92,8.022
2024,9,5,1,1,10.371,16.1333,31.3608,22.9209,2.38E+01,1.154,1.2007,215.887,86.875,8.021
2024,9,5,1,1,10.542,16.1069,31.3635,22.9289,2.25E+01,1.155,1.2007,216.042,86.895,8.02
2024,9,5,1,1,10.71,16.103,31.3629,22.9293,2.12E+01,1.1467,1.2123,216.122,86.92,8.02
2024,9,5,1,1,10.88,16.1011,31.3596,22.9271,2.01E+01,1.1229,1.2471,216.06,86.89,8.02
2024,9,5,1,1,11.057,16.0935,31.3627,22.9313,1.90E+01,1.1211,1.2355,215.851,86.795,8.019
2024,9,5,1,1,11.239,16.0855,31.3629,22.9332,1.78E+01,1.1083,1.1543,215.59,86.677,8.019
2024,9,5,1,1,11.425,16.0748,31.3632,22.9358,1.68E+01,1.1083,1.1543,215.343,86.559,8.019
2024,9,5,1,1,11.603,16.0784,31.3596,22.9322,1.58E+01,1.1083,1.2935,215.041,86.442,8.019
2024,9,5,1,1,11.786,16.0797,31.3592,22.9317,1.49E+01,1.1092,1.2935,214.903,86.389,8.018
2024,9,5,1,1,11.966,16.0841,31.3581,22.9298,1.40E+01,1.122,1.2152,214.719,86.321,8.019
2024,9,5,1,1,12.14,16.0571,31.3703,22.9452,1.33E+01,1.1238,1.2007,214.703,86.277,8.019
2024,9,5,1,1,12.307,16.0402,31.3652,22.9451,1.26E+01,1.1138,1.2007,214.881,86.317,8.018
2024,9,5,1,1,12.479,16.0481,31.3606,22.9398,1.19E+01,1.1092,1.1978,215.01,86.379,8.019
2024,9,5,1,1,12.661,16.0363,31.3715,22.9508,1.13E+01,1.1092,1.2587,214.956,86.344,8.019
2024,9,5,1,1,12.843,16.0073,31.37,22.9562,1.06E+01,1.1092,1.2935,214.591,86.148,8.019
2024,9,5,1,1,13.021,16.0003,31.3709,22.9584,1.00E+01,1.1092,1.2471,214.287,86.015,8.019
2024,9,5,1,1,13.201,15.9785,31.3766,22.9676,9.48E+00,1.1092,1.2007,214.47,86.055,8.02
2024,9,5,1,1,13.372,15.9668,31.3748,22.9688,8.98E+00,1.1037,1.1833,214.964,86.232,8.02
2024,9,5,1,1,13.543,15.9567,31.3744,22.9708,8.51E+00,1.0945,1.1543,215.047,86.249,8.02
2024,9,5,1,1,13.72,15.9404,31.3775,22.9768,8.06E+00,1.0909,1.1862,214.978,86.195,8.02
2024,9,5,1,1,13.896,15.9321,31.3763,22.9777,7.64E+00,1.079,1.2935,214.977,86.18,8.02
2024,9,5,1,1,14.082,15.9258,31.3743,22.9776,7.21E+00,1.0799,1.2877,215.053,86.199,8.02
2024,9,5,1,1,14.273,15.9288,31.3754,22.9778,6.79E+00,1.0799,1.2471,215.266,86.29,8.02
2024,9,5,1,1,14.457,15.9239,31.3742,22.978,6.41E+00,1.0799,1.2471,215.585,86.409,8.02
2024,9,5,1,1,14.645,15.9276,31.3728,22.9761,6.04E+00,1.0945,1.1543,215.728,86.471,8.021
2024,9,5,1,1,14.83,15.9094,31.382,22.9872,5.70E+00,1.0945,1.1543,215.556,86.377,8.023
2024,9,5,1,1,15.018,15.8779,31.3854,22.9968,5.38E+00,1.0936,1.1543,215.356,86.246,8.024
2024,9,5,1,1,15.205,15.8576,31.3846,23.0007,5.07E+00,1.0927,1.1543,215.14,86.125,8.026
2024,9,5,1,1,15.397,15.875,31.3742,22.9888,4.78E+00,1.0826,1.1891,214.574,85.922,8.027
2024,9,5,1,1,15.57,15.8773,31.3802,22.9929,4.53E+00,1.0799,1.2007,214.046,85.717,8.027
2024,9,5,1,1,15.736,15.8608,31.3818,22.9978,4.31E+00,1.0799,1.2007,213.807,85.595,8.028
2024,9,5,1,1,15.901,15.8577,31.3835,22.9998,4.09E+00,1.0799,1.2007,213.78,85.58,8.028
2024,9,5,1,1,16.081,15.8507,31.3774,22.9967,3.87E+00,1.0717,1.2007,214.168,85.72,8.029
2024,9,5,1,1,16.261,15.8295,31.3896,23.0108,3.66E+00,1.0652,1.2007,214.597,85.864,8.029
2024,9,5,1,1,16.443,15.8583,31.3731,22.9917,3.46E+00,1.0762,1.1833,214.43,85.835,8.03
2024,9,5,1,1,16.625,15.8621,31.3772,22.994,3.26E+00,1.0955,1.1543,213.996,85.67,8.03
2024,9,5,1,1,16.808,15.8658,31.3791,22.9947,3.08E+00,1.0872,1.1543,213.555,85.501,8.03
2024,9,5,1,1,16.98,15.8208,31.3937,23.0158,2.92E+00,1.0652,1.1543,213.574,85.442,8.031
2024,9,5,1,1,17.156,15.8049,31.3884,23.0153,2.77E+00,1.0652,1.1514,213.804,85.504,8.031
2024,9,5,1,1,17.337,15.8073,31.3809,23.009,2.62E+00,1.0643,1.1543,213.931,85.555,8.031
2024,9,5,1,1,17.522,15.8323,31.3782,23.0014,2.48E+00,1.0643,1.1543,213.863,85.568,8.031
2024,9,5,1,1,17.711,15.8359,31.3793,23.0014,2.33E+00,1.0643,1.105,213.816,85.556,8.032
2024,9,5,1,1,17.89,15.8263,31.3846,23.0077,2.20E+00,1.0652,1.1079,214.006,85.619,8.032
2024,9,5,1,1,18.069,15.8121,31.3847,23.0109,2.09E+00,1.0781,1.1456,214.422,85.761,8.032
2024,9,5,1,1,18.244,15.8239,31.378,23.0031,1.97E+00,1.0799,1.1543,214.362,85.753,8.033
2024,9,5,1,1,18.43,15.8339,31.38,23.0024,1.86E+00,1.068,1.0847,214.228,85.718,8.033
2024,9,5,1,1,18.613,15.8215,31.3865,23.0102,1.76E+00,1.0652,1.0587,214.297,85.728,8.034
2024,9,5,1,1,18.805,15.819,31.3791,23.005,1.66E+00,1.0826,1.0876,214.482,85.794,8.034
2024,9,5,1,1,18.996,15.8187,31.3832,23.0083,1.56E+00,1.0945,1.105,214.728,85.894,8.035
2024,9,5,1,1,19.181,15.8171,31.382,23.0077,1.47E+00,1.0945,1.1282,214.717,85.886,8.035
2024,9,5,1,1,19.356,15.8116,31.3837,23.0103,1.40E+00,1.0945,1.1543,214.587,85.826,8.036
2024,9,5,1,1,19.534,15.8105,31.3819,23.0091,1.32E+00,1.1009,1.1369,214.535,85.802,8.036
2024,9,5,1,1,19.717,15.7196,31.4189,23.0576,1.25E+00,1.1101,1.1079,214.757,85.76,8.037
2024,9,5,1,1,19.913,15.7202,31.3914,23.0363,1.18E+00,1.1046,1.0934,214.759,85.746,8.037
2024,9,5,1,1,20.105,15.7057,31.399,23.0454,1.11E+00,1.0936,1.0587,214.48,85.615,8.037
2024,9,5,1,1,20.288,15.7165,31.3921,23.0377,1.05E+00,1.0945,1.0645,213.993,85.434,8.037
2024,9,5,1,1,20.45,15.7225,31.3904,23.0351,9.98E-01,1.0945,1.1079,213.844,85.384,8.037
2024,9,5,1,1,20.613,15.7118,31.3936,23.0399,9.43E-01,1.0945,1.1079,214.027,85.441,8.037
2024,9,5,1,1,20.783,15.7286,31.3842,23.029,8.98E-01,1.0955,1.0616,214.338,85.587,8.037
2024,9,5,1,1,20.949,15.7398,31.3897,23.0307,8.56E-01,1.0945,1.0616,214.626,85.725,8.036
2024,9,5,1,1,21.133,15.7363,31.3889,23.0309,8.06E-01,1.0808,1.021,214.669,85.735,8.036
2024,9,5,1,1,21.325,15.7449,31.3883,23.0286,7.59E-01,1.079,1.0123,214.685,85.756,8.036
2024,9,5,1,1,21.504,15.6861,31.4052,23.0545,7.13E-01,1.0781,1.0818,214.545,85.611,8.037
2024,9,5,1,1,21.667,15.7317,31.3768,23.0227,6.80E-01,1.079,1.105,213.906,85.416,8.037
2024,9,5,1,1,21.833,15.7117,31.3975,23.043,6.50E-01,1.0698,1.105,213.811,85.357,8.037
2024,9,5,1,1,22.002,15.7028,31.3966,23.0442,6.10E-01,1.0643,1.105,213.968,85.404,8.037
2024,9,5,1,1,22.179,15.6709,31.4025,23.0558,5.75E-01,1.0588,1.0355,214.446,85.544,8.038
2024,9,5,1,1,22.364,15.6574,31.4002,23.057,5.42E-01,1.0515,0.9659,214.483,85.535,8.037
2024,9,5,1,1,22.552,15.6625,31.3936,23.0508,5.08E-01,1.057,1.0326,214.187,85.422,8.037
2024,9,5,1,1,22.731,15.6675,31.3986,23.0536,4.81E-01,1.0662,1.1514,213.928,85.33,8.037
2024,9,5,1,1,22.898,15.6621,31.3981,23.0543,4.50E-01,1.0689,1.1282,213.917,85.316,8.037
2024,9,5,1,1,23.067,15.6623,31.396,23.0527,4.27E-01,1.0799,1.0587,213.874,85.298,8.037
2024,9,5,1,1,23.237,15.6541,31.3992,23.057,4.06E-01,1.0762,1.0587,213.817,85.264,8.037
2024,9,5,1,1,23.42,15.6515,31.3981,23.0567,3.87E-01,1.0506,1.0587,213.715,85.218,8.037
2024,9,5,1,1,23.614,15.6468,31.4009,23.0598,3.63E-01,1.0497,1.0587,213.618,85.173,8.037
2024,9,5,1,1,23.801,15.636,31.3999,23.0615,3.38E-01,1.0945,1.0123,213.715,85.193,8.037
2024,9,5,1,1,23.989,15.6361,31.3999,23.0614,3.22E-01,1.0964,1.0152,213.765,85.213,8.037
2024,9,5,1,1,24.155,15.6461,31.3965,23.0567,3.06E-01,1.0955,1.0529,213.636,85.176,8.037
2024,9,5,1,1,24.322,15.6212,31.4044,23.0682,2.90E-01,1.0945,1.0587,213.746,85.183,8.037
2024,9,5,1,1,24.499,15.6243,31.4006,23.0646,2.74E-01,1.0717,1.0587,214.127,85.338,8.037
2024,9,5,1,1,24.687,15.6257,31.3992,23.0632,2.53E-01,1.0643,1.0587,214.486,85.483,8.037
2024,9,5,1,1,24.886,15.5998,31.4092,23.0766,2.34E-01,1.0826,1.0587,214.267,85.358,8.037
2024,9,5,1,1,25.075,15.5996,31.4025,23.0715,2.19E-01,1.0945,1.0587,213.894,85.205,8.037
2024,9,5,1,1,25.247,15.5997,31.4019,23.071,2.08E-01,1.1009,1.0587,213.781,85.16,8.037
2024,9,5,1,1,25.413,15.5989,31.4023,23.0715,1.91E-01,1.1083,1.0587,213.742,85.143,8.037
2024,9,5,1,1,25.583,15.5987,31.4029,23.072,1.83E-01,1.1028,1.076,213.626,85.097,8.036
2024,9,5,1,1,25.763,15.5937,31.4041,23.074,1.77E-01,1.0936,1.1079,213.246,84.938,8.036
2024,9,5,1,1,25.953,15.5839,31.4042,23.0763,1.64E-01,1.0964,1.1282,212.859,84.768,8.036
2024,9,5,1,1,26.145,15.594,31.4015,23.0719,1.49E-01,1.1092,1.2007,212.797,84.758,8.036
2024,9,5,1,1,26.33,15.5833,31.4043,23.0765,1.41E-01,1.1064,1.1659,212.943,84.8,8.036
2024,9,5,1,1,26.498,15.5715,31.4063,23.0806,1.31E-01,1.0945,0.9166,213.313,84.929,8.036
2024,9,5,1,1,26.664,15.5763,31.4039,23.0777,1.20E-01,1.0945,0.9166,213.567,85.037,8.035
2024,9,5,1,1,26.834,15.5722,31.4061,23.0803,1.11E-01,1.0799,1.0123,213.909,85.168,8.035
2024,9,5,1,1,27.014,15.5708,31.4044,23.0793,1.04E-01,1.0781,1.0123,214.044,85.218,8.035
2024,9,5,1,1,27.197,15.5701,31.4033,23.0786,9.63E-02,1.079,1.134,213.99,85.195,8.035
2024,9,5,1,1,27.387,15.5647,31.4064,23.0822,8.65E-02,1.079,1.1514,213.603,85.033,8.035
2024,9,5,1,1,27.563,15.5561,31.4059,23.0837,8.13E-02,1.0579,1.0818,213.024,84.788,8.035
2024,9,5,1,1,27.734,15.5677,31.4025,23.0785,6.94E-02,1.0497,1.0587,212.518,84.604,8.035
2024,9,5,1,1,27.9,15.5606,31.4045,23.0816,6.17E-02,1.0588,1.0558,212.55,84.606,8.035
2024,9,5,1,1,28.079,15.5589,31.4074,23.0843,5.98E-02,1.0643,1.0558,213.125,84.834,8.039
2024,9,5,1,1,28.258,15.5531,31.4051,23.0837,5.34E-02,1.0579,1.105,213.843,85.108,8.06
2024,9,5,1,1,28.451,15.5472,31.4116,23.09,4.75E-02,1.0515,1.1514,214.26,85.268,8.098
2024,9,5,1,1,28.633,15.5227,31.4112,23.0951,4.63E-02,1.0451,1.1166,214.121,85.172,8.136
2024,9,5,1,1,28.804,15.5114,31.4149,23.1004,3.85E-02,1.0359,1.0587,213.679,84.979,8.179
2024,9,5,1,1,28.968,15.4881,31.4141,23.1048,3.79E-02,1.0387,1.0789,213.763,84.973,8.209
2024,9,5,1,1,29.139,15.497,31.4109,23.1005,3.27E-02,1.0506,1.1514,213.958,85.064,8.225
2024,9,5,1,1,29.316,15.4939,31.4123,23.1022,3.01E-02,1.0506,1.1572,213.879,85.028,8.233
2024,9,5,1,1,29.501,15.511,31.408,23.0952,2.80E-02,1.0497,1.1978,213.41,84.868,8.238
2024,9,5,1,1,29.682,15.515,31.4084,23.0947,2.17E-02,1.0506,1.2007,212.997,84.71,8.243
2024,9,5,1,1,29.853,15.5066,31.412,23.0992,1.70E-02,1.0359,1.2007,213.031,84.712,8.248
2024,9,5,1,1,30.017,15.4999,31.413,23.1015,1.30E-02,1.0369,1.2007,213.379,84.84,8.254
2024,9,5,1,1,30.184,15.5045,31.4069,23.0958,1.34E-02,1.0369,1.2413,213.509,84.896,8.26
2024,9,5,1,1,30.361,15.5091,31.4111,23.098,7.11E-03,1.0359,1.2471,213.435,84.876,8.265
2024,9,5,1,1,30.547,15.5148,31.4051,23.0922,3.14E-03,1.025,1.279,213.441,84.885,8.269
2024,9,5,1,1,30.728,15.5254,31.4057,23.0904,1.21E-04,1.0213,1.2935,213.503,84.927,8.272
2024,9,5,1,1,30.9,15.5171,31.4097,23.0952,7.66E-04,1.0112,1.2355,213.513,84.92,8.275
